date,open,high,low,close,tick_volume,spread,returns,log_returns
2022-10-25 01:00:00,0.98701,0.98875,0.987,0.98868,2464,0,0.0016513854414670348,0.0016500234038221424
2022-10-25 02:00:00,0.98868,0.98904,0.98836,0.98843,2428,0,-0.00025286240239508206,-0.00025289437748266647
2022-10-25 03:00:00,0.98843,0.98972,0.98787,0.98943,7115,0,0.0010117054318463659,0.0010111940028205682
2022-10-25 04:00:00,0.98943,0.98986,0.98773,0.98878,9177,0,-0.0006569438969912245,-0.0006571597791866265
2022-10-25 05:00:00,0.98879,0.98898,0.98782,0.98846,5202,0,-0.00032363114140654403,-0.00032368352126586203
2022-10-25 06:00:00,0.98846,0.98889,0.98818,0.98848,4055,0,2.0233494526955553e-05,2.0233289832566283e-05
2022-10-25 07:00:00,0.98847,0.98864,0.98777,0.98789,2087,0,-0.0005968760116542571,-0.0005970542130538564
2022-10-25 08:00:00,0.98788,0.98803,0.98664,0.98709,3688,0,-0.0008098067598619751,-0.0008101348304839635
2022-10-25 09:00:00,0.9871,0.9879,0.98554,0.98612,6154,0,-0.0009826864824890036,-0.000983169635401595
2022-10-25 10:00:00,0.98613,0.98672,0.98527,0.98566,7940,0,-0.000466474668397332,-0.00046658350155204936
2022-10-25 11:00:00,0.98564,0.98763,0.98533,0.98572,7816,0,6.087291763900993e-05,6.0871064958143994e-05
2022-10-25 12:00:00,0.98572,0.98755,0.98554,0.98642,6836,0,0.000710140810777915,0.0007098887801034688
2022-10-25 13:00:00,0.98642,0.98725,0.9854,0.98585,5687,0,-0.0005778471644938277,-0.0005780141825102752
2022-10-25 14:00:00,0.98585,0.98674,0.98482,0.98666,6074,0,0.0008216260080133875,0.0008212886581358412
2022-10-25 15:00:00,0.98665,0.98757,0.98562,0.98747,7080,0,0.0008209514929153894,0.0008206146965549077
2022-10-25 16:00:00,0.98746,0.99697,0.98733,0.9968,14255,0,0.009448388305467459,0.009404031466221013
2022-10-25 17:00:00,0.9968,0.99767,0.99353,0.99572,13782,0,-0.0010834670947029723,-0.0010840544694814497
2022-10-25 18:00:00,0.99573,0.99769,0.99526,0.9958,8645,0,8.0343871771138e-05,8.03406443751389e-05
2022-10-25 19:00:00,0.99578,0.99653,0.99466,0.99536,6425,0,-0.0004418557943361989,-0.0004419534413726918
2022-10-25 20:00:00,0.99537,0.99648,0.99507,0.99645,6957,0,0.0010950811766596846,0.0010944820126502055
2022-10-25 21:00:00,0.99644,0.99699,0.99557,0.99592,4223,0,-0.0005318882031210004,-0.0005320297058292821
2022-10-25 22:00:00,0.99591,0.99681,0.99584,0.99669,3972,0,0.0007731544702385129,0.0007728557402874362
2022-10-25 23:00:00,0.99669,0.99696,0.99627,0.99644,2017,0,-0.00025083024812122545,-0.00025086171128929787
2022-10-26 00:00:00,0.9962,0.99663,0.99616,0.99652,946,0,8.028581751040598e-05,8.028259477665138e-05
2022-10-26 01:00:00,0.99652,0.99652,0.99547,0.99595,2922,0,-0.0005719905270340497,-0.0005721541760223142
2022-10-26 02:00:00,0.99595,0.9965,0.99574,0.99617,2321,0,0.00022089462322405495,0.0002208702295989846
2022-10-26 03:00:00,0.99617,0.99673,0.99433,0.99471,4576,0,-0.001465613298934909,-0.0014666883606508077
2022-10-26 04:00:00,0.99471,0.99576,0.9945,0.99474,5566,0,3.015954398777332e-05,3.0159089197870692e-05
2022-10-26 05:00:00,0.99473,0.99542,0.99465,0.99523,3062,0,0.0004925910288116064,0.0004924697456777948
2022-10-26 06:00:00,0.99522,0.99609,0.99517,0.99572,2751,0,0.0004923485023562435,0.0004922273386005885
2022-10-26 07:00:00,0.99571,0.996,0.99509,0.99548,2588,0,-0.00024103161531352502,-0.00024106066810183611
2022-10-26 08:00:00,0.99548,0.99711,0.99517,0.99622,4064,0,0.0007433599871418117,0.0007430838319532406
2022-10-26 09:00:00,0.99622,0.99851,0.99607,0.99828,7254,0,0.0020678163457870102,0.0020656813562379794
2022-10-26 10:00:00,0.99827,1.00349,0.99738,1.00333,10712,0,0.005058700965661078,0.005045948726360263
2022-10-26 11:00:00,1.0033,1.00449,1.00158,1.00385,11387,0,0.0005182741470899366,0.0005181398894303454
2022-10-26 12:00:00,1.00383,1.00477,1.0019,1.00262,8311,0,-0.0012252826617521473,-0.0012260339342962596
2022-10-26 13:00:00,1.00262,1.00316,1.00086,1.00233,7590,0,-0.00028924218547421443,-0.00028928402406299444
2022-10-26 14:00:00,1.00232,1.00327,1.00132,1.00209,7800,0,-0.00023944209990722776,-0.00023947077074359325
