date,open,high,low,close,tick_volume,spread,returns,log_returns,tr,atr_14,atr_mean_16,atr_mean_48,atr_rel_16,atr_rel_48,std_16,std_48,std_rel_16,std_rel_48,candle_range,range_mean_16,range_mean_48,range_rel_16,range_rel_48
2022-11-04 10:00:00,0.97639,0.97837,0.97639,0.97739,7586,0,0.0010139287177386,0.0010134150392092,0.0019799999999999,0.0014407142857142,0.0019082589285714,0.0021582738095238,0.7549888875891957,0.6675308199343672,0.001287340928689,0.0053399222873976,0.7325837964245433,1.293037387733479,0.0019799999999999818,0.0014093750000000113,0.002199999999999996,1.4048780487804635,0.8999999999999935
2022-11-04 11:00:00,0.97741,0.97911,0.97718,0.97755,6743,0,0.0001637012860782,0.0001636878884848,0.0019299999999999,0.0014878571428571,0.0018455803571428,0.0021623958333333,0.8061730485474501,0.6880595679670838,0.0012688623513516,0.0051335221783546,0.7883925463972202,1.2250692530919216,0.0019299999999999873,0.0014687500000000117,0.002200416666666663,1.3140425531914701,0.8771066085968523
2022-11-04 12:00:00,0.97755,0.97964,0.97734,0.97918,5689,0,0.0016674338908495,0.0016660452663714,0.0022999999999999,0.0016178571428571,0.0017885267857142,0.0021676488095238,0.9045752939120884,0.7463649719220719,0.0014203953381637,0.0049089619881807,0.9570387277010378,1.1556875987628028,0.0022999999999999687,0.0015250000000000055,0.0022116666666666626,1.5081967213114496,1.0399397136397768
2022-11-04 13:00:00,0.97914,0.98115,0.97852,0.97972,7596,0,0.0005514818521619,0.0005513298419299,0.00263,0.0017514285714285,0.0017393303571428,0.0021747321428571,1.006955673622341,0.8053536970891374,0.0015641428696499,0.004680558534136,1.1273734216592426,1.0880244401931285,0.002630000000000021,0.0016100000000000073,0.0022272916666666634,1.6335403726708133,1.1808062856608474
2022-11-04 14:00:00,0.97973,0.98511,0.97513,0.98472,14912,0,0.0051034989588862,0.0050905202472398,0.0099799999999999,0.0023292857142857,0.0017314285714285,0.0021919047619047,1.3452970297029712,1.0626765153161049,0.0024294594734925,0.0044545988219903,1.7633134511528523,1.023695273639774,0.009979999999999989,0.0022037500000000043,0.002386041666666665,4.52864435621099,4.182659565179428
2022-11-04 15:00:00,0.98469,0.98817,0.98396,0.98667,16668,0,0.0019802583475505,0.0019783002206276,0.00421,0.0025935714285714,0.0017545982142857,0.0022116369047619,1.4781568836984462,1.1726931409885557,0.0032410420135106,0.0043387578653128,2.224111498585523,0.9863711659783134,0.004210000000000047,0.0024193750000000083,0.002417708333333333,1.7401188323430772,1.7413183972425876
2022-11-04 16:00:00,0.98666,0.99406,0.98602,0.99294,15702,0,0.0063547082611208,0.0063346022362389,0.00804,0.0030757142857143,0.0018124553571428,0.0022401041666666,1.6969876105322792,1.373022885043354,0.0047948986781098,0.0046241323462524,2.867771126514141,1.0388053298884463,0.008040000000000047,0.0028037500000000146,0.0025391666666666666,2.867588051716453,3.1663931736134088
2022-11-04 17:00:00,0.99294,0.99337,0.98873,0.98954,11996,0,-0.0034241746731927,-0.0034300505765364,0.0046399999999999,0.003275,0.0018907142857142,0.0022706547619047,1.7321496033245156,1.4423152541484328,0.0052665605078967,0.0047103241021343,2.7262822215206195,1.0454412157577868,0.0046399999999999775,0.0030618750000000125,0.002590624999999999,1.5154113084302783,1.7910735826296662
2022-11-04 18:00:00,0.98954,0.99171,0.98878,0.99151,10910,0,0.0019908240192412,0.0019888449553134,0.0029299999999999,0.0034071428571428,0.0019832589285714,0.0023039732142857,1.7179516038266676,1.4788118351450366,0.0057839614092191,0.0049115094962648,2.5950667847676505,1.0762399936448703,0.002929999999999988,0.003164375000000011,0.0026149999999999993,0.9259332411613599,1.1204588910133801
2022-11-04 19:00:00,0.99152,0.99278,0.99131,0.99233,7118,0,0.000827021411786,0.0008266796180124,0.0014699999999999,0.0034607142857142,0.0020779910714285,0.0023347321428571,1.6654134530689322,1.4822746567746383,0.0062431898564223,0.0051041959124925,2.446718755658384,1.1035060031609156,0.0014699999999999713,0.003140625000000008,0.002577083333333334,0.468059701492527,0.5704122877930364
2022-11-04 20:00:00,0.99231,0.99493,0.99147,0.99486,6687,0,0.0025495550875211,0.0025463104856397,0.00346,0.0035921428571428,0.0021898214285714,0.0023550595238095,1.6403816358150478,1.5252875015796816,0.0067891165048676,0.0054115835137112,2.336304827856111,1.15296217121824,0.0034600000000000186,0.003289375000000004,0.002434791666666667,1.0518715561466887,1.4210661418670392
2022-11-04 21:00:00,0.99486,0.99667,0.99444,0.99608,7508,0,0.00122630319844,0.0012255519028209,0.0022299999999999,0.0036442857142857,0.0023133928571428,0.0023656101190476,1.5752991123118414,1.5405267693701283,0.0072724076423605,0.0058845824485648,2.2118851345825887,1.2342859591536284,0.0022299999999999542,0.003383749999999998,0.0023091666666666655,0.6590321388991373,0.9657163478888294
