date,open,high,low,close,tick_volume,spread,returns,log_returns,tr,atr_14,atr_mean_16,atr_mean_48,atr_rel_16,atr_rel_48,std_16,std_48,std_rel_16,std_rel_48
2022-11-02 11:00:00,0.99003,0.99056,0.98865,0.9905,4754,0,0.0004848386901274,0.000484721193826,0.0019099999999999,0.0012899999999999,0.0019565178571428,0.0018171279761904,0.6593346415369881,0.7099114739867828,0.0009190719957287523,0.002222678554283788,0.42518049120379203,0.7634070183285373
2022-11-02 12:00:00,0.9905,0.99121,0.98945,0.99017,4750,0,-0.0003331650681474,-0.0003332205799587,0.0017599999999999,0.0013657142857142,0.0018729017857142,0.0018117857142857,0.7291969585011788,0.7537945988566906,0.0010005846207756896,0.002160416862437147,0.4887969152731488,0.7439058433808198
2022-11-02 13:00:00,0.99016,0.99057,0.98869,0.98978,4411,0,-0.0003938717593948,-0.00039394934725,0.0018799999999999,0.0014114285714285,0.0017980803571428,0.0018063541666666,0.7849641234451402,0.7813686803364422,0.0010071337216739592,0.0020773984685568173,0.5229713046683436,0.7165961222764755
2022-11-02 14:00:00,0.98978,0.99079,0.98843,0.99063,8838,0,0.000858776697852,0.0008584081601229,0.0023599999999999,0.0015049999999999,0.0017336160714285,0.0018019047619047,0.8681276234130714,0.8352272727272676,0.0010283506211402342,0.002073713125262413,0.5720213167486233,0.7154158312652388
2022-11-02 15:00:00,0.9906,0.99151,0.98882,0.98943,7787,0,-0.0012113503528057,-0.0012120846306827,0.0026899999999999,0.0016464285714285,0.0016835267857142,0.0017976488095238,0.97796398928694,0.9158788761775414,0.0009495189571564693,0.002072293030498923,0.5715906798220701,0.7157039306084978
2022-11-02 16:00:00,0.98943,0.98946,0.98725,0.98734,6823,0,-0.0021123272995563,-0.0021145614095353,0.00221,0.0017092857142857,0.0016446874999999,0.0017923660714285,1.0392768925924911,0.9536476624573452,0.0009592043143492314,0.002095137184695569,0.6282874434621716,0.7247936257520461
2022-11-02 17:00:00,0.98735,0.98861,0.98644,0.98744,7135,0,0.0001012822330705,0.0001012771043715,0.00217,0.0018085714285714,0.0016179017857142,0.0017888392857142,1.117849948952843,1.0110306962815068,0.0009902135712391463,0.0021091880118064275,0.708257852977801,0.7315622547062665
2022-11-02 18:00:00,0.98744,0.98765,0.98589,0.98676,4690,0,-0.0006886494369278,-0.0006888866648688,0.0017599999999999,0.0018078571428571,0.0015933928571428,0.0017847172619047,1.134595987896444,1.0129655724446116,0.0011482346958119,0.002127644745515464,0.8942795900638685,0.7408934125492153
2022-11-02 19:00:00,0.98676,0.98918,0.98589,0.98802,4059,0,0.0012769062385991,0.0012760916871581,0.0032899999999999,0.0019842857142857,0.0015836607142857,0.0017841517857142,1.2529740091334458,1.1121731515075657,0.0011722810740885776,0.0021352263217360437,0.9906375840105094,0.7471414528030947
2022-11-02 20:00:00,0.98803,0.99761,0.98732,0.98848,20828,0,0.0004655776198863,0.0004654692722544,0.01029,0.0026164285714285,0.0016116071428571,0.0017956249999999,1.62349030470914,1.4571130227238815,0.0011702319926690994,0.00213801421586317,1.0644559880298774,0.7523840486104706
2022-11-02 21:00:00,0.98846,0.99051,0.98225,0.98288,14795,0,-0.0056652638394303,-0.0056813723145997,0.00826,0.0031378571428571,0.0016793303571428,0.001818869047619,1.8685168939575187,1.7251693556304604,0.0018895589211947058,0.002334231235544526,1.7506675636937252,0.8257799034104953
2022-11-02 22:00:00,0.98285,0.98316,0.98128,0.98168,4410,0,-0.001220901839492,-0.0012216477473248,0.0018799999999999,0.0031935714285714,0.0017788839285714,0.001844925595238,1.7952668958767282,1.731002831124626,0.002538828798219122,0.0025784403444578095,2.2395400867931397,0.9161481789149377
2022-11-02 23:00:00,0.98176,0.982,0.98149,0.98169,630,0,1.018661885732186e-05,1.0186566974072331e-05,0.00051,0.0031249999999999,0.0018807589285714,0.0018712351190476,1.6615632936931817,1.67001996071477,0.0029813171026690753,0.002794941193763151,2.36062405490215,0.9966152926497629
2022-11-03 00:00:00,0.98149,0.98314,0.98123,0.9815,1964,0,-0.000193543786735,-0.0001935625187507,0.0019099999999999,0.0030628571428571,0.0019991517857142,0.0018983779761904,1.532078336794623,1.6134074358592472,0.0033381382036499767,0.002999973514953715,2.3552568981192916,1.0726372502020929
2022-11-03 01:00:00,0.98149,0.98181,0.98097,0.98138,2092,0,-0.0001222618441161,-0.0001222693187046,0.0008399999999999,0.0029864285714285,0.0021173214285714,0.001927306547619,1.4104748249978911,1.5495348029185807,0.00361458872718155,0.003191342233014964,2.2710297654280134,1.1430644670521135
2022-11-03 02:00:00,0.98138,0.98226,0.981,0.9821,2455,0,0.0007336607634147,0.0007333917659174,0.00126,0.0029507142857142,0.0022250892857142,0.0019571874999999,1.3261105092091023,1.5076298442097598,0.0036759667662627817,0.003333487879838962,2.0721912382657304,1.1953474952956806
2022-11-03 03:00:00,0.9821,0.98398,0.982,0.98311,4623,0,0.0010284085123715,0.0010278800626144,0.0019799999999999,0.0029578571428571,0.0023293303571428,0.0019870982142857,1.2698315349675158,1.4885309249399044,0.0035671799669583343,0.00342472796843764,1.8392661768466918,1.2288712967430853
2022-11-03 04:00:00,0.98309,0.98393,0.98261,0.98273,3503,0,-0.0003865284657872,-0.0003866031871699,0.0013199999999999,0.0028835714285714,0.0024241964285714,0.0020174999999999,1.189495782844097,1.4292795184988534,0.0034385917054325123,0.0035090684949320946,1.6438169590766174,1.2583577900121776
2022-11-03 05:00:00,0.98272,0.98333,0.98243,0.98293,2548,0,0.000203514698849,0.000203493992542,0.0009,0.0027557142857142,0.0025082142857142,0.0020473214285714,1.0986757795813789,1.3460095944177983,0.0032670167329440286,0.0035814581044949297,1.463011635300605,1.2821830686653783
2022-11-03 06:00:00,0.98294,0.98362,0.98278,0.98347,1854,0,0.0005493778804186,0.0005492270276384,0.00084,0.0026578571428571,0.0025802678571428,0.002077931547619,1.0300702446451468,1.2790879208232826,0.002896438905507355,0.0036279468579696957,1.232615364011906,1.2952789853832942
2022-11-03 07:00:00,0.98347,0.98361,0.98245,0.98263,2258,0,-0.0008541185801295,-0.0008544835472355,0.0011599999999999,0.0025857142857142,0.0026389732142857,0.0021068749999999,0.9798183140764308,1.2272746535576584,0.0025979655501957117,0.0036488096220271575,1.0591577778224481,1.2980164979664806
2022-11-03 08:00:00,0.98261,0.98261,0.98099,0.98117,3558,0,-0.0014858084935326,-0.0014869134015624,0.0016399999999999,0.0025771428571428,0.0026932142857142,0.0021352827380952,0.956902267603767,1.2069328389933889,0.002527493405860983,0.003681003798254237,0.9908327729867771,1.3037798354061187
2022-11-03 09:00:00,0.9811,0.98132,0.9773,0.97839,7815,0,-0.0028333520185085,-0.0028373735584273,0.00402,0.0026292857142857,0.0027445089285714,0.0021631845238095,0.958016819298278,1.21546991731217,0.0026270579234836146,0.0038232073164285564,0.9901541830632292,1.346333433237784
2022-11-03 10:00:00,0.97839,0.97903,0.97612,0.97677,9341,0,-0.0016557814368503,-0.0016571537579853,0.0029099999999999,0.0021021428571428,0.0027629017857142,0.002178244047619,0.7608460307970736,0.9650630559237072,0.002864822783932482,0.004040668064101593,1.0378035160053827,1.4123986698859514
2022-11-03 11:00:00,0.97677,0.97704,0.97475,0.97534,7711,0,-0.0014640089273831,-0.0014650816355503,0.00229,0.0016757142857142,0.0027436160714285,0.0021831398809523,0.61076850480824,0.7675707362293561,0.0029682598016356494,0.004261834581283229,1.033259019851391,1.4763687818338347
2022-11-03 12:00:00,0.97534,0.97566,0.97302,0.97452,6809,0,-0.0008407324625258,-0.0008410860762728,0.0026399999999999,0.0017299999999999,0.0026882142857142,0.0021870089285714,0.6435498870732027,0.7910347220804675,0.002874075431045647,0.004474889153307731,0.9647117876653845,1.533837001883027
2022-11-03 13:00:00,0.9745,0.97516,0.97357,0.97395,6598,0,-0.0005849033370275,-0.0005850744597144,0.0015899999999999,0.0018071428571428,0.0026050446428571,0.0021923363095238,0.6937089781159483,0.8243000169692853,0.0032756414130173253,0.004681232334568132,1.0684331878876303,1.585365382551302
2022-11-03 14:00:00,0.97396,0.97637,0.9733,0.9741,12245,0,0.000154012012937,0.0001540001543045,0.0030699999999999,0.0018899999999999,0.0025235714285714,0.002198050595238,0.7489385791112341,0.8598528187178824,0.003582620781868308,0.0048134243747030795,1.144214863995172,1.609150736016822
2022-11-03 15:00:00,0.97409,0.97615,0.97353,0.97448,12138,0,0.0003901036854532,0.0003900276147935,0.0026199999999999,0.0020171428571428,0.0024543303571428,0.0022035119047618,0.8218709642213993,0.9154218104216736,0.0037690811767160403,0.0049071115711407515,1.1851306041798588,1.617854867734813
2022-11-03 16:00:00,0.97452,0.9795,0.97424,0.97855,13438,0,0.0041765864871521,0.0041678887592746,0.00526,0.0023028571428571,0.0024068303571428,0.0022044791666666,0.9568007716135236,1.0446264032239545,0.0037254384529442097,0.004984033798821333,1.1625592289187803,1.6204300737558575
2022-11-03 17:00:00,0.97856,0.97875,0.97532,0.97582,10367,0,-0.0027898421133309,-0.0027937409760022,0.00343,0.0024064285714285,0.0023705803571428,0.0022063095238095,1.015122125760343,1.0907030701991052,0.003757882160651446,0.005136739447767133,1.169415371401573,1.6463180568443254
2022-11-03 18:00:00,0.97581,0.97697,0.97455,0.9748,7526,0,-0.0010452747432928,-0.0010458214239248,0.0024199999999999,0.0024849999999999,0.0023414732142857,0.0022036458333333,1.061297641518427,1.127676672181518,0.0037676632899817657,0.005319565635095654,1.1703718729536723,1.68027119263068
2022-11-03 19:00:00,0.97479,0.97542,0.97444,0.97473,4838,0,-7.180960196961905e-05,-7.18121804025248e-05,0.0009799999999999,0.0024907142857142,0.0023122767857142,0.0021993749999999,1.077169610966308,1.1324645800349118,0.0036341635901552447,0.0054631236640250635,1.1274358626409555,1.6998310193739237
